name,ring,quadrant,isNew,description
Patternlab,hold,tools,FALSE,
PhantomJS,hold,tools,FALSE,
PHPStorm,hold,tools,FALSE,
Puppet,hold,tools,FALSE,
Subversion,hold,tools,FALSE,
Tomcat,hold,tools,FALSE,
Vagrant,hold,tools,FALSE,
Visual Studio,hold,tools,FALSE,
Yarn,hold,tools,TRUE,
OpenVPN,trial,tools,TRUE,
Phraseapp,trial,tools,TRUE,
OAUTH2,trial,tools,TRUE,
Google API (Spreadsheet / Drive),trial,tools,TRUE,
Jobvite API (candidates),trial,tools,TRUE,
Scala,trial,languages & frameworks,TRUE,
